loan_id,installment_id,installment_number,installment_duedate,repaid_date,capital_due,capital_paid,interests_paid
loan_5640770,8z7801h57ig215gi017ig33480h0558y,4,2022-05-16,NA,194.91,0,0
loan_6211418,8z780223805z698301805i47330x32g2,5,2022-07-15,NA,103.66,0,0
loan_6211418,8z780223805z698301805i47330x32g1,4,2022-06-30,NA,103.66,0,0
loan_6211418,8z780223805z698301805i47330x32zi,2,2022-05-31,NA,103.66,0,0
loan_6211418,8z780223805z698301805i4732i832zx,1,2022-05-16,NA,103.66,0,0
loan_6211418,8z780223805z698301805i47330x32g3,6,2022-08-01,NA,102.2,0,0
loan_6211418,8z780223805z698301805i47330x32g0,3,2022-06-15,NA,103.66,0,0
loan_4402806,8z7802367i0yi0x1017i0x509ih37004,5,2022-05-02,2022-04-19,1083.9186,1083.9186,141.18
loan_4402806,8z7802367i0yi0x1017i0x509ig47000,1,2022-02-28,2022-02-22,1128.0398,1128.0398,80.74
loan_4402806,8z7802367i0yi0x1017i0x509ig47001,2,2022-03-15,2022-03-07,1020.9414999999999,1020.9414999999999,227.45
loan_4402806,8z7802367i0yi0x1017i0x509ih37006,7,2022-05-31,NA,1131.9599,0,0
loan_4402806,8z7802367i0yi0x1017i0x509ih37003,4,2022-04-18,2022-04-05,1022.4379999999999,1022.4379999999999,225.4
loan_4402806,8z7802367i0yi0x1017i0x509ih67007,8,2022-06-15,NA,975.9443,0,0
loan_4402806,8z7802367i0yi0x1017i0x509ih37002,3,2022-03-31,2022-03-18,1066.0263,1066.0263,165.69
loan_4402806,8z7802367i0yi0x1017i0x509ih37005,6,2022-05-16,NA,1039.1258,0,0
loan_9469753,8z7802967hh2x6i9017hh53h660z4h87,2,2022-01-17,2022-01-15,310.98,310.98,0
loan_9469753,8z7802967hh2x6i9017hh53h660z4h86,1,2021-12-31,2021-12-31,310.98,310.98,0
loan_9469753,8z7802967hh2x6i9017hh53h660z4h88,3,2022-01-31,2022-01-31,310.98,310.98,0
loan_9469753,8z7802967hh2x6i9017hh53h660z4h89,4,2022-02-15,2022-02-15,310.7902,310.7902,0
loan_1208532,8z780zzi7x0g8hix017x0h6g3y984240,1,2022-01-17,2021-12-30,1094.27,1094.27,0
loan_1208532,8z780zzi7x0g8hix017x0h6g3yg74243,4,2022-02-28,NA,0,0,0
loan_1208532,8z780zzi7x0g8hix017x0h6g3yg74244,5,2022-03-15,NA,0,0,0
loan_1208532,8z780zzi7x0g8hix017x0h6g3yg74242,3,2022-02-15,NA,0,0,0
loan_1208532,8z780zzi7x0g8hix017x0h6g3y984241,2,2022-01-31,NA,0,0,0
loan_1208532,8z780zzi7x0g8hix017x0h6g3yg74245,6,2022-03-31,NA,0,0,0
loan_5716249,8z780g3x7h9i6z37017hz242g3041x66,4,2022-02-15,NA,175.93,0,0
loan_5716249,8z780g3x7h9i6z37017hz242g2x71x64,2,2022-01-17,2022-01-18,175.93,175.93,0
loan_5716249,8z780g3x7h9i6z37017hz242g2x71x65,3,2022-01-31,2022-02-02,175.93,175.93,58
loan_5716249,8z780g3x7h9i6z37017hz242g2x71x63,1,2021-12-31,2022-01-02,175.93,175.93,0
loan_7452043,8z780hz57y55yy2y017y58yhi5yh77zh,1,2021-10-15,2021-10-08,173.74,173.74,0
loan_7452043,8z780hz57y55yy2y017y58yhi5yh77zi,3,2021-11-16,2021-11-13,346.02,346.02,0
loan_7452043,8z780hz57y55yy2y017y58yhi5xz77g0,4,2021-11-30,NA,0,0,0
loan_7452043,8z780hz57y55yy2y017y58yhi5yh77zx,2,2021-11-01,2021-11-01,173.74,173.74,0
loan_1973445,8z780zgi7i4322g4017i43z283055056,2,2022-03-31,2022-04-03,1460,1460,58
loan_1973445,8z780zgi7i4322g4017i43z283055059,5,2022-05-16,NA,1460,0,0
loan_1973445,8z780zgi7i4322g4017i43z283055057,3,2022-04-18,2022-04-18,1460,1460,0
loan_1973445,8z780zgi7i4322g4017i43z2830z505z,6,2022-05-31,NA,1458.54,0,0
loan_1973445,8z780zgi7i4322g4017i43z283055055,1,2022-03-15,2022-03-16,1460,1460,0
loan_1973445,8z780zgi7i4322g4017i43z283055058,4,2022-05-02,NA,1460,0,0
loan_4373126,8z780g457h6194i2017h66i61g4g1389,3,2022-01-17,2022-01-14,277.4,277.4,0
loan_4373126,8z780g457h6194i2017h66i61g301387,1,2021-12-15,2021-12-12,277.4,277.4,0
loan_4373126,8z780g457h6194i2017h66i61g4g138y,6,2022-02-28,2022-03-06,277.1226,277.1226,58
loan_4373126,8z780g457h6194i2017h66i61g4g138g,5,2022-02-15,2022-02-11,277.4,277.4,0
loan_4373126,8z780g457h6194i2017h66i61g4g138z,4,2022-01-31,2022-01-30,277.4,277.4,0
loan_4373126,8z780g457h6194i2017h66i61g4g1388,2,2021-12-31,2021-12-22,277.4,277.4,0
loan_0693167,8z780gx67h95137h017h97h707415215,6,2022-02-28,NA,115.7853,0,0
loan_0693167,8z780gx67h95137h017h97h707205212,3,2022-01-17,NA,103.82789999999999,0,0
loan_0693167,8z780gx67h95137h017h97h707205210,1,2021-12-15,2021-12-10,118.8002,118.8002,6.26
loan_0693167,8z780gx67h95137h017h97h707415216,7,2022-03-15,NA,117.6395,0,0
loan_0693167,8z780gx67h95137h017h97h707415217,8,2022-03-31,NA,101.981,0,0
loan_0693167,8z780gx67h95137h017h97h707415214,5,2022-02-15,NA,111.7046,0,0
loan_0693167,8z780gx67h95137h017h97h707205211,2,2021-12-31,NA,95.72489999999999,0,0
loan_0693167,8z780gx67h95137h017h97h707205213,4,2022-01-31,NA,109.80659999999999,0,0
loan_6690698,8z780y5z7h146452017h15508x567565,1,2021-11-30,2021-11-29,567.9399999999999,567.9399999999999,0
loan_6690698,8z780y5z7h146452017h15508x727569,5,2022-01-31,2022-02-04,155.0155,155.0155,58
loan_6690698,8z780y5z7h146452017h15508x567566,2,2021-12-15,2021-12-15,1057.77,1057.77,0
loan_6690698,8z780y5z7h146452017h15508x72756z,6,2022-02-15,NA,0,0,0
loan_6690698,8z780y5z7h146452017h15508x727567,3,2021-12-31,2021-12-31,1057.77,1057.77,0
loan_6690698,8z780y5z7h146452017h15508x727568,4,2022-01-17,2022-01-15,567.9399999999999,567.9399999999999,0
loan_4777043,8z780y747i310zy3017i322z0g0g7919,3,2022-04-18,2022-04-13,458.44,458.44,0
loan_4777043,8z780y747i310zy3017i322z0g0g791g,5,2022-05-16,NA,458.44,0,0
loan_4777043,8z780y747i310zy3017i322z0g0g7918,2,2022-03-31,2022-03-30,458.44,458.44,0
loan_4777043,8z780y747i310zy3017i322z0g0g7917,1,2022-03-15,2022-03-14,458.44,458.44,0
loan_4777043,8z780y747i310zy3017i322z0g0g791z,4,2022-05-02,2022-05-02,458.44,458.44,0
loan_4777043,8z780y747i310zy3017i322z0g0i791y,6,2022-05-31,NA,454.7754,0,0
loan_4722507,8z780yi57hx2zihg017hx3h9h7gg40x0,2,2022-01-17,2022-01-04,262.8,262.8,0
loan_4722507,8z780yi57hx2zihg017hx3h9h7gg40hi,1,2021-12-31,2021-12-22,262.8,262.8,0
loan_4722507,8z780yi57hx2zihg017hx3h9h7gg40x1,3,2022-01-31,2022-01-18,262.8,262.8,0
loan_4722507,8z780yi57hx2zihg017hx3h9h7h940x2,4,2022-02-15,2022-02-01,260.17199999999997,260.17199999999997,0
loan_5838620,8z7802457yiiy03i017h021882z019h0,4,2022-01-17,NA,121.2457,0,0
loan_5838620,8z7802457yiiy03i017h021882z019h1,5,2022-01-31,NA,127.66239999999999,0,0
loan_5838620,8z7802457yiiy03i017h0218828419yh,1,2021-11-30,NA,102.48469999999999,0,0
loan_5838620,8z7802457yiiy03i017h021882z019h3,7,2022-02-28,NA,134.4368,0,0
loan_5838620,8z7802457yiiy03i017h021882z319h4,8,2022-03-15,NA,150.745,0,0
loan_5838620,8z7802457yiiy03i017h021882z019yi,3,2021-12-31,NA,119.08489999999999,0,0
loan_5838620,8z7802457yiiy03i017h021882z019h2,6,2022-02-15,NA,130.0495,0,0
loan_5838620,8z7802457yiiy03i017h0218828419yx,2,2021-12-15,NA,117.384,0,0
loan_9039548,8z78039i7h951hxx017h97i379zh7g7x,1,2021-12-15,2021-12-13,497.13,497.13,0
loan_9039548,8z78039i7h951hxx017h97i379y97g7i,2,2021-12-31,2021-12-26,497.13,497.13,0
loan_9039548,8z78039i7h951hxx017h97i379y97g82,5,2022-02-15,2022-02-14,497.13,497.13,0
loan_9039548,8z78039i7h951hxx017h97i379y97g80,3,2022-01-17,2022-01-16,497.13,497.13,0
loan_9039548,8z78039i7h951hxx017h97i379y97g83,6,2022-02-28,2022-03-04,496.16639999999995,496.16639999999995,58
loan_9039548,8z78039i7h951hxx017h97i379y97g81,4,2022-01-31,2022-01-28,497.13,497.13,0
loan_7513332,8z7803g07xy4xig7017xy6yhz75z57yz,2,2022-02-28,2022-02-28,219,219,0
loan_7513332,8z7803g07xy4xig7017xy6yhz75z57y9,1,2022-02-15,2022-02-13,219,219,0
loan_7235448,8z780y387h8zh071017h8h175g3g469x,9,2022-04-18,NA,105.10539999999999,0,0
loan_7235448,8z780y387h8zh071017h8h175g38469z,5,2022-02-15,NA,97.85650000000001,0,0
loan_7235448,8z780y387h8zh071017h8h175g3x46z1,12,2022-05-31,NA,103.5432,0,0
loan_7235448,8z780y387h8zh071017h8h175g3g469y,7,2022-03-15,NA,102.3898,0,0
loan_7235448,8z780y387h8zh071017h8h175g384696,1,2021-12-15,2021-12-17,98.4989,98.4989,83.07
loan_7235448,8z780y387h8zh071017h8h175g384699,4,2022-01-31,NA,97.07539999999999,0,0
loan_7235448,8z780y387h8zh071017h8h175g3g469i,10,2022-05-02,NA,109.9234,0,0
loan_7235448,8z780y387h8zh071017h8h175g3x46z0,11,2022-05-16,NA,112.24479999999998,0,0
loan_7235448,8z780y387h8zh071017h8h175g3g469h,8,2022-03-31,NA,103.89359999999999,0,0
loan_7235448,8z780y387h8zh071017h8h175g384697,2,2021-12-31,NA,89.8995,0,0
loan_7235448,8z780y387h8zh071017h8h175g384698,3,2022-01-17,NA,90.5273,0,0
loan_7235448,8z780y387h8zh071017h8h175g3g469g,6,2022-02-28,NA,102.30219999999998,0,0
loan_1985839,8z780h137i122z80017i12y47y65706g,1,2022-02-28,NA,229.22,0,0
loan_1985839,8z780h137i122z80017i12y47y84706x,4,2022-04-18,NA,229.22,0,0
loan_1985839,8z780h137i122z80017i12y47y84706h,3,2022-03-31,NA,229.22,0,0
loan_1985839,8z780h137i122z80017i12y47y84706y,2,2022-03-15,NA,229.22,0,0
loan_1334832,8z780223805z698301805x92143y1450,4,2022-06-30,NA,117.82929999999999,0,0
loan_1334832,8z780223805z698301805x921425144h,1,2022-05-16,NA,97.7105,0,0
loan_1334832,8z780223805z698301805x92143y1452,6,2022-08-01,NA,122.69109999999999,0,0
loan_1334832,8z780223805z698301805x92143y1454,8,2022-08-31,NA,142.6712,0,0
loan_1334832,8z780223805z698301805x921425144x,2,2022-05-31,NA,111.91629999999999,0,0
loan_1334832,8z780223805z698301805x92143y1451,5,2022-07-15,NA,120.9099,0,0
loan_1334832,8z780223805z698301805x921425144i,3,2022-06-15,NA,114.8363,0,0
loan_1334832,8z780223805z698301805x92143y1453,7,2022-08-15,NA,127.73539999999998,0,0
loan_5350021,8z780yxh7hg40395017hg5xyx81110xh,5,2022-02-28,NA,0,0,0
loan_5350021,8z780yxh7hg40395017hg5xyx7xi10xg,3,2022-01-31,NA,0,0,0
loan_5350021,8z780yxh7hg40395017hg5xyx7xi10x9,1,2021-12-31,2021-12-28,401.5,401.5,0
loan_5350021,8z780yxh7hg40395017hg5xyx81110xx,6,2022-03-15,NA,0,0,0
loan_5350021,8z780yxh7hg40395017hg5xyx81110xy,4,2022-02-15,NA,0,0,0
loan_5350021,8z780yxh7hg40395017hg5xyx7xi10xz,2,2022-01-17,2022-01-14,2006.7626999999998,2006.7626999999998,0
loan_2516858,8z780h447ih0g92z017ih20yyg7z57z4,3,2022-05-16,NA,878.1899999999999,0,0
loan_2516858,8z780h447ih0g92z017ih20yyg7z57z3,2,2022-05-02,2022-05-02,878.1899999999999,878.1899999999999,0
loan_2516858,8z780h447ih0g92z017ih20yyg8h57z5,4,2022-05-31,NA,878.1899999999999,0,0
loan_2516858,8z780h447ih0g92z017ih20yyg8h57z7,6,2022-06-30,NA,878.92,0,0
loan_2516858,8z780h447ih0g92z017ih20yyg7z57z2,1,2022-04-18,2022-04-19,878.92,878.92,0
loan_2516858,8z780h447ih0g92z017ih20yyg8h57z6,5,2022-06-15,NA,878.1899999999999,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h6iz6gz2,1,2021-10-15,2021-10-15,219.16060000000002,219.16060000000002,55.78
loan_3757024,8z780x137y4g44i8017y4xi2h71z6gz8,7,2022-01-17,NA,223.4092,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h71x6gzg,10,2022-02-28,NA,245.6377,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h6iz6gz4,3,2021-11-16,NA,208.196,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h71x6gzz,9,2022-02-15,NA,238.0603,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h71z6gz6,5,2021-12-15,NA,217.7955,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h71x6gzy,11,2022-03-15,NA,248.99569999999997,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h6iz6gz3,2,2021-11-01,NA,196.2751,40.055099999999996,145.13
loan_3757024,8z780x137y4g44i8017y4xi2h71z6gz7,6,2021-12-31,NA,220.24099999999999,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h71z6gz5,4,2021-11-30,NA,216.03619999999998,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h71z6gz9,8,2022-01-31,NA,234.56359999999998,0,0
loan_3757024,8z780x137y4g44i8017y4xi2h71x6gzh,12,2022-03-31,NA,231.8991,0,0
loan_9237447,8z780y5z7h146452017h165384i9040x,5,2022-01-31,2022-01-30,137.24,137.24,0
loan_9237447,8z780y5z7h146452017h165384ih0410,7,2022-02-28,2022-02-26,137.24,137.24,0
loan_9237447,8z780y5z7h146452017h165384i9040z,1,2021-11-30,2021-11-26,137.24,137.24,0
loan_9237447,8z780y5z7h146452017h165384i9040h,4,2022-01-17,2022-01-16,137.24,137.24,0
loan_9237447,8z780y5z7h146452017h165384i9040g,2,2021-12-15,2021-12-15,137.24,137.24,0
loan_9237447,8z780y5z7h146452017h165384i9040y,3,2021-12-31,2021-12-31,137.24,137.24,0
loan_9237447,8z780y5z7h146452017h165384ih0411,8,2022-03-15,2022-03-12,133.6119,133.6119,0
loan_9237447,8z780y5z7h146452017h165384ih040i,6,2022-02-15,2022-02-13,137.24,137.24,0
loan_3851643,8z780y908022i98i01802ig072h75647,2,2022-05-16,NA,645.3199999999999,0,0
loan_3851643,8z780y908022i98i01802ig072h75649,4,2022-06-15,NA,645.3199999999999,0,0
loan_3851643,8z780y908022i98i01802ig072gz5646,1,2022-05-02,NA,645.3199999999999,0,0
loan_3851643,8z780y908022i98i01802ig072h7564z,5,2022-06-30,NA,645.3199999999999,0,0
loan_3851643,8z780y908022i98i01802ig072h75648,3,2022-05-31,NA,645.3199999999999,0,0
loan_3851643,8z780y908022i98i01802ig072h7564g,6,2022-07-15,NA,641.67,0,0
loan_7879401,8z780h4y7i649zy5017i67g514gg3115,2,2022-03-31,2022-03-30,328.5,328.5,0
loan_7879401,8z780h4y7i649zy5017i67g514gg3117,4,2022-05-02,NA,328.5,0,0
loan_7879401,8z780h4y7i649zy5017i67g514gg3118,5,2022-05-16,NA,328.5,0,0
loan_7879401,8z780h4y7i649zy5017i67g514gg3116,3,2022-04-18,2022-04-18,328.5,328.5,0
loan_7879401,8z780h4y7i649zy5017i67g514gg3114,1,2022-03-15,2022-03-15,328.5,328.5,0
loan_7879401,8z780h4y7i649zy5017i67g514gh3119,6,2022-05-31,NA,326.31,0,0
loan_4674764,8z780gh37xx071g5017xx1zg5h015236,3,2022-03-31,2022-03-28,250.4046,250.4046,61.98
loan_4674764,8z780gh37xx071g5017xx1zg5h015238,5,2022-05-02,2022-04-28,270.2679,270.2679,34.77
loan_4674764,8z780gh37xx071g5017xx1zg5yx35234,1,2022-02-28,2022-02-25,236.93609999999998,236.93609999999998,80.43
loan_4674764,8z780gh37xx071g5017xx1zg5h015237,4,2022-04-18,2022-04-15,252.5873,252.5873,58.99
loan_4674764,8z780gh37xx071g5017xx1zg5h05523z,7,2022-05-31,NA,280.42949999999996,0,0
loan_4674764,8z780gh37xx071g5017xx1zg5h015239,6,2022-05-16,NA,268.9685,0,0
loan_4674764,8z780gh37xx071g5017xx1zg5h015235,2,2022-03-15,2022-03-12,246.78379999999999,246.78379999999999,66.94
loan_4674764,8z780gh37xx071g5017xx1zg5h05523g,8,2022-06-15,NA,302.59229999999997,0,0
loan_9526583,8z78258y7hg9285x017hgy9y64hy684i,2,2022-01-17,2022-01-14,627.8,627.8,0
loan_9526583,8z78258y7hg9285x017hgy9y64xx6853,6,2022-03-15,2022-03-14,624.88,624.88,0
loan_9526583,8z78258y7hg9285x017hgy9y64xx6852,5,2022-02-28,2022-02-25,627.8,627.8,0
loan_9526583,8z78258y7hg9285x017hgy9y64hy684x,1,2021-12-31,2021-12-30,627.8,627.8,0
loan_9526583,8z78258y7hg9285x017hgy9y64xx6851,4,2022-02-15,2022-02-15,627.8,627.8,0
loan_9526583,8z78258y7hg9285x017hgy9y64xx6850,3,2022-01-31,2022-01-31,627.8,627.8,0
loan_4261339,8z7802657i364075017i384x743845z6,4,2022-05-02,NA,264.844,139.43,0
loan_4261339,8z7802657i364075017i384x743845z3,1,2022-03-15,2022-03-12,292,292,0
loan_4261339,8z7802657i364075017i384x743845z4,2,2022-03-31,2022-03-30,279.59,279.59,0
loan_4261339,8z7802657i364075017i384x743845z5,3,2022-04-18,2022-04-29,279.59,279.59,58
loan_5017283,8z7802457yiiy03i017h0435966149h0,8,2022-03-15,NA,183.449,0,0
loan_5017283,8z7802457yiiy03i017h0435965y49yz,2,2021-12-15,2021-12-16,185.42,185.42,0
loan_5017283,8z7802457yiiy03i017h0435965y49yy,4,2022-01-17,NA,185.42,0,0
loan_5017283,8z7802457yiiy03i017h0435965y49yh,5,2022-01-31,NA,185.42,0,0
loan_5017283,8z7802457yiiy03i017h0435965y49y9,1,2021-11-30,2021-12-01,185.42,185.42,0
loan_5017283,8z7802457yiiy03i017h0435965y49yg,3,2021-12-31,NA,185.42,143.07999999999998,58
loan_5017283,8z7802457yiiy03i017h0435966149yx,6,2022-02-15,NA,185.42,0,0
loan_5017283,8z7802457yiiy03i017h0435966149yi,7,2022-02-28,NA,185.42,0,0
loan_8322332,8z7823957hy89961017hyg1yi3034i59,1,2021-12-31,2021-12-27,194.91,194.91,0
loan_8322332,8z7823957hy89961017hyg1yi3184i5x,6,2022-03-15,2022-03-14,192.72,192.72,0
loan_8322332,8z7823957hy89961017hyg1yi3034i5z,2,2022-01-17,2022-01-17,194.91,194.91,0
loan_8322332,8z7823957hy89961017hyg1yi3034i5y,4,2022-02-15,2022-02-17,194.91,194.91,58
loan_8322332,8z7823957hy89961017hyg1yi3034i5g,3,2022-01-31,2022-01-31,194.91,194.91,0
loan_8322332,8z7823957hy89961017hyg1yi3184i5h,5,2022-02-28,2022-02-28,194.91,194.91,0
loan_7821560,8z780yzz7i4zhi31017i4h27hzx60808,5,2022-05-16,NA,118.99,0,0
loan_7821560,8z780yzz7i4zhi31017i4h27hzx60807,4,2022-05-02,NA,118.99,0,0
loan_7821560,8z780yzz7i4zhi31017i4h27hzy80805,2,2022-03-31,NA,118.99,0,0
loan_7821560,8z780yzz7i4zhi31017i4h27hzx60809,6,2022-05-31,NA,118.25999999999999,0,0
loan_7821560,8z780yzz7i4zhi31017i4h27hzy80804,1,2022-03-15,NA,118.99,0,0
loan_7821560,8z780yzz7i4zhi31017i4h27hzx60806,3,2022-04-18,NA,118.99,0,0
loan_0300811,8z78267h7ih0y360017ih271y2zi3213,6,2022-06-30,NA,316.09,0,0
loan_0300811,8z78267h7ih0y360017ih271y29g320i,2,2022-05-02,2022-04-29,316.09,316.09,0
loan_0300811,8z78267h7ih0y360017ih271y29g3210,3,2022-05-16,NA,316.09,0,0
loan_0300811,8z78267h7ih0y360017ih271y29g320x,1,2022-04-18,2022-04-17,316.09,316.09,0
loan_0300811,8z78267h7ih0y360017ih271y2zi3211,4,2022-05-31,NA,316.09,0,0
loan_0300811,8z78267h7ih0y360017ih271y2zi3212,5,2022-06-15,NA,316.09,0,0
loan_7593810,8z7826987xz60547017xz6y9143z5igx,1,2022-02-15,NA,210.84589999999997,0,0
loan_7593810,8z7826987xz60547017xz6y9143y5iy5,8,2022-05-31,NA,264.3403,0,0
loan_7593810,8z7826987xz60547017xz6y9143z5iy1,4,2022-03-31,NA,232.7751,0,0
loan_7593810,8z7826987xz60547017xz6y9143z5igi,2,2022-02-28,NA,228.8696,0,0
loan_7593810,8z7826987xz60547017xz6y9143z5iy0,3,2022-03-15,NA,228.94989999999999,0,0
loan_7593810,8z7826987xz60547017xz6y9143y5iy4,7,2022-05-16,NA,254.5364,0,0
loan_7593810,8z7826987xz60547017xz6y9143y5iy3,6,2022-05-02,NA,248.492,0,0
loan_7593810,8z7826987xz60547017xz6y9143z5iy2,5,2022-04-18,NA,235.7608,0,0
loan_1792432,8z7824h17i3g6725017i3hhgy8h54525,5,2022-05-16,NA,186.88,0,0
loan_1792432,8z7824h17i3g6725017i3hhgy8h54523,3,2022-04-18,2022-04-14,186.88,186.88,0
loan_1792432,8z7824h17i3g6725017i3hhgy8h54521,1,2022-03-15,2022-03-16,186.88,186.88,0
loan_1792432,8z7824h17i3g6725017i3hhgy8h54524,4,2022-05-02,2022-05-02,186.88,186.88,0
loan_1792432,8z7824h17i3g6725017i3hhgy8h84526,6,2022-05-31,NA,186.88,0,0
loan_1792432,8z7824h17i3g6725017i3hhgy8h54522,2,2022-03-31,2022-03-31,186.88,186.88,0
loan_6971169,8z78274x7h197g44017h1zzy79i363x4,8,2022-03-15,NA,0,0,0
loan_6971169,8z78274x7h197g44017h1zzy79i163x0,4,2022-01-17,2022-01-14,502.96999999999997,502.96999999999997,0
loan_6971169,8z78274x7h197g44017h1zzy79i163x3,7,2022-02-28,2022-02-28,1005.4654999999999,1005.4654999999999,0
loan_6971169,8z78274x7h197g44017h1zzy79x363hx,2,2021-12-15,2021-12-12,502.96999999999997,502.96999999999997,0
loan_6971169,8z78274x7h197g44017h1zzy79i163hi,3,2021-12-31,2021-12-30,502.96999999999997,502.96999999999997,0
loan_6971169,8z78274x7h197g44017h1zzy79x363hh,1,2021-11-30,2021-11-23,502.96999999999997,502.96999999999997,0
loan_6971169,8z78274x7h197g44017h1zzy79i163x2,6,2022-02-15,2022-02-14,502.96999999999997,502.96999999999997,0
loan_6971169,8z78274x7h197g44017h1zzy79i163x1,5,2022-01-31,2022-01-27,502.96999999999997,502.96999999999997,0
loan_0821526,8z78275g7y9hg611017y9xxx50yy357x,6,2022-01-17,NA,272.29,0,0
loan_0821526,8z78275g7y9hg611017y9xxx50yy357h,5,2021-12-31,NA,352.59,0,0
loan_0821526,8z78275g7y9hg611017y9xxx50yy357g,3,2021-11-30,2021-11-30,420.48,420.48,0
loan_0821526,8z78275g7y9hg611017y9xxx50g93579,1,2021-11-01,2021-10-27,365,365,0
loan_0821526,8z78275g7y9hg611017y9xxx50yy357y,4,2021-12-15,NA,352.59,147.46,58
loan_0821526,8z78275g7y9hg611017y9xxx50yy357z,2,2021-11-16,2021-11-15,352.59,352.59,0
loan_2009976,8z7824317i92i8yy017i9564h97x380h,2,2022-04-18,2022-04-14,462.82,462.82,0
loan_2009976,8z7824317i92i8yy017i9564h97x3810,5,2022-05-31,NA,462.82,0,0
loan_2009976,8z7824317i92i8yy017i9564h97x380i,4,2022-05-16,NA,462.82,0,0
